Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2006-04-24,3036.6,3045.75,3016.6,3024.9,259108209,7551.74
2006-04-25,3024.1,3024.1,2954.05,2960.3,272611196,7206.81
2006-04-26,2967.4,3037.1,2959.85,3032.2,266542079,7789.57
2006-04-27,3048.9,3071.45,2996.75,3005.35,382431989,14663.72
2006-04-28,2911.45,3021.35,2868.25,3014.1,290467186,8215.64
2006-04-29,3037.4,3068.55,3037.4,3064.7,126620998,3363.11
2006-05-31,2636.35,2653.95,2556.85,2635.25,248048499,7398.71
2006-06-01,2665.75,2680.2,2531.5,2548.35,226871613,7356.76
2006-06-02,2554.35,2620.7,2511.9,2615.75,240721481,6794.96
2006-06-05,2627.5,2638.2,2555.55,2559.55,190850102,6035.53
2006-06-06,2488.95,2536.55,2472.1,2486.75,204478833,6179.11
2006-06-07,2463.2,2491.55,2352.55,2384.9,256699826,7238.35
2006-06-08,2354.55,2354.55,2209.3,2248.8,299668129,7727.89
2006-06-09,2236.8,2382.95,2236.8,2376.3,253767067,6463.62
2006-06-12,2372.85,2379.45,2302.05,2310.8,180884292,4972.96
2006-06-13,2246.8,2246.8,2184.9,2201.4,199313485,5012.74
2006-06-14,2226.25,2282.55,2137.8,2163.95,218891916,6327.27
2006-06-15,2213.5,2307.55,2200.7,2299.25,204599698,5693.27
2006-06-16,2362.0,2439.5,2362.0,2386.25,279676506,8229.03
2006-06-19,2394.25,2429.1,2358.3,2418.7,184618587,5291.19
2006-06-20,2397.1,2406.45,2363.55,2388.85,212529663,5658.48
2006-06-21,2384.55,2446.7,2378.5,2442.95,200824514,5491.05
2006-06-22,2491.75,2521.45,2491.75,2503.5,213174014,5872.2
2006-06-23,2486.95,2540.1,2453.55,2529.45,201808186,5619.84
2006-06-25,2558.25,2560.95,2531.15,2539.85,30697220,726.29
2006-06-26,2546.3,2546.3,2431.25,2441.2,191107980,5570.28
2006-06-27,2453.1,2471.95,2401.05,2456.65,228822618,7354.03
2006-06-28,2413.15,2469.75,2411.95,2452.85,180136075,5399.46
2006-06-29,2486.5,2498.25,2455.65,2463.25,225975306,6995.0
2006-06-30,2512.85,2565.45,2512.85,2562.5,213952492,6566.78
2006-07-03,2580.55,2582.55,2557.45,2577.2,148184400,4591.11
2006-07-04,2593.4,2600.7,2568.0,2574.1,146267290,4506.29
2006-07-05,2565.3,2619.2,2564.0,2616.85,172931608,5649.12
2006-07-06,2587.65,2611.35,2580.2,2591.8,165223637,5233.02
2006-07-07,2610.05,2623.25,2522.75,2534.25,207613446,6266.08
2006-07-10,2536.3,2579.05,2525.9,2573.9,145069609,4555.61
2006-07-11,2572.45,2577.3,2547.8,2559.85,146393607,4657.64
2006-07-12,2539.8,2609.9,2529.75,2606.9,186731309,7216.35
2006-07-13,2600.55,2610.6,2577.65,2590.7,179997041,5167.15
2006-07-14,2546.3,2566.85,2533.4,2560.15,164877803,4733.11
2006-07-17,2545.5,2545.5,2466.65,2471.35,184629766,4815.5
2006-07-18,2481.5,2488.65,2433.6,2450.0,186091014,5403.3
2006-07-19,2468.4,2478.05,2383.05,2392.4,188615768,5749.74
2006-07-20,2449.0,2468.2,2434.95,2455.65,181805184,5420.41
2006-07-21,2437.45,2438.45,2381.05,2391.85,157374331,4803.1
2006-07-24,2366.45,2417.55,2334.75,2410.7,182996354,5364.72
2006-07-25,2431.45,2466.2,2431.45,2462.3,194861527,5258.64
2006-07-26,2468.4,2524.0,2453.5,2516.4,193331234,5583.61
2006-07-27,2537.05,2554.4,2518.8,2549.25,252323641,7686.18
2006-07-28,2551.75,2566.6,2530.25,2545.6,220320556,5796.47
2006-07-31,2575.9,2588.75,2556.2,2562.55,176822212,4875.99
2006-08-01,2553.95,2570.35,2536.85,2559.65,171205665,4517.48
2006-08-02,2556.6,2596.35,2556.6,2592.7,197755521,4841.62
2006-08-03,2605.35,2635.0,2591.55,2601.2,230667093,6052.51
2006-08-04,2607.85,2624.65,2576.65,2588.35,191222741,5170.2
2006-08-07,2576.8,2590.9,2569.2,2576.5,148232471,3861.9
2006-08-08,2584.4,2621.5,2584.4,2620.35,155463501,3997.73
2006-08-09,2611.65,2663.15,2609.55,2656.25,217936308,5950.71
2006-08-10,2657.5,2679.0,2648.8,2674.1,228199670,5914.96
